type,title,synopsis,genre
FILME,A Case Of You,"Sam é um escritor em busca de inspiração. Quando conhece Birdie, se interessa imediatamente por ela e cria uma tática para conquistá-la: fingir ser tudo o que a atrai num homem. Ao se relacionarem, ela se apaixona, e Sam precisa decidir se conta a verdade ou continua fingindo que é outra pessoa.",Romance
FILME,A Dark Song,"Sophia Howard é uma jovem decidida que contrata um estranho ocultista para realizar um ritual que irá arriscar não só suas vidas e almas, mas também a própria essência de seu ser.",Drama
FILME,A Dream Of Christmas,"Quando uma mulher casada tem o desejo de ser solteira atendido por um anjo de Natal, ela descobre que sua nova vida não é o que esperava e faz de tudo para ter seu marido de volta.",Comédia
FILME,A Estrada 47,"Na Segunda Guerra, o Brasil levou mais de 25 mil soldados. De origem pobre e despreparados para o combate, os pracinhas tiveram que aprender na prática a lutar pela sobrevivência.",Drama
FILME,A Family Man,"DANE JENSEN (GERARD BUTLER), UM IMPLACAVÉL HEADHUNTER CORPORATIVO DE CHICAGO, ESTÁ DISPUTANDO COM UMA COLEGA DE TRABALHO (ALISON BRIE) A CHANCE DE SUBSTITUIR O CHEFE DA EMPRESA (WILLEM DAFOE), PRESTES A SE APOSENTAR. ELE É O FAVORITO, MAS AINDA ASSIM PRECISA BATER AS METAS NOS ÚLTIMOS TRÊS MESES DO ANO. ENQUANTO A RIVALIDADE ATINGE NÍVEIS EXTREMOS, NO ENTANTO, UMA TRAGÉDIA FAMILIAR FAZ COM QUE ELE COLOQUE NA BALANÇA SUAS PRIORIDADES.",Drama
FILME,A Frente Fria Que A Chuva Traz,"Um grupo de jovens ricos costuma alugar uma laje na favela do Vidigal para fazer festas regadas a bebida e drogas. O dono do lugar é constantemente humilhado por eles, mas aceita a situação por dinheiro.",Drama
FILME,A Gente,"O diretor Aly Muritiba retorna ao seu antigo local de trabalho para documentar a rotina dos 28 homens e mulheres que integram a Equipe Alfa, responsável pela custódia de mais de mil criminosos.",Documentário
FILME,A Girl Walks Home Alone At Night,"Numa fantasmagórica cidade iraniana, os homens que andam sozinhos à noite têm uma razão para temer: a garota perambula por aí, sedenta por sangue. Quando o tímido Arash, filho de um homem viciado em drogas, a encontra, tanto a sua vida quanto a da vampira se transformam.",Suspense Terror
FILME,A Good Old Fashioned Orgy,"Eric é um homem de mais de 30 que ainda dá festas insanas. Quando seu pai diz que vai vender a casa nos Hamptons, ele decide fazer uma comemoração diferente do habitual.      ",Comédia
FILME,A History Of Violence,"Tom Stall vira herói na cidade quando consegue impedir um assalto no seu restaurante. Ao ganhar mídia, ele atrai um homem estranho que acusa Tom de ser, na verdade, um mafioso.",Drama
FILME,A Jobless World,Até que ponto a automatização do trabalho com máquinas pode ameaçar a extinção de milhares de empregos? Pesquisadores e empresários dividem opiniões sobre o tema.,Documentário
FILME,A Jornada Da Vida - O Filme,DOCUMENTÁRIO SOBRE AS ORIGENS DA VIDA NA TERRA. A REPÓRTER SÔNIA BRIDI PERCORRE DIFERENTES LUGARES NO MUNDO PARA FALAR SOBRE A EVOLUÇÃO DO HOMEM E DE OUTROS SERES VIVOS.,Documentário
FILME,A Juiza,"Exatamente quem é o ""Notorious RBG"", também conhecida como juiza da Suprema Corte Ruth Bader Ginsburg? Uma rebelde, uma ativista, uma Diva? Este documentário enérgico da jurista de 84 anos de idade faz jus a sua reputação de “feminista durona”, mas também revela uma mediadora firme de fala mansa. Tida como um mito em sistema dominado por homens, acompanhamos a história de uma mulher determinada e de seu comprometimento inabalável com o combate à discriminação de gênero.",Documentário
FILME,A Kind Of Murder,"Walter e Clara estão infelizes, o que faz com que ela aumente sua obsessão por Marty, suspeito de matar a própria esposa. Quando Clara é encontrada morta, Walter se sente culpado.",Suspense
FILME,A Little Something For Your Birthday,"Uma aspirante a designer de moda luta para encontrar o sucesso e conquistar um amor. A é contada a cada ano, sempre na mesma data: seu aniversário.",Comédia
FILME,A Million Ways To Die In The West,"O covarde fazendeiro Albert se encanta com a misteriosa forasteira Anna. Sua recém descoberta coragem é posta em cheque com a chegada do marido de Anna, foragido da justiça.",Comédia
FILME,A Mother's Rage,"Enquanto viaja com a filha, Rebecca percebe que seu carro está sendo seguido. E ela fará de tudo para proteger sua filha e a si própria de um caminhoneiro psicótico.",Drama
FILME,A Mulher Invisível,"Uma comédia romântica na qual um homem de 35 anos é abandonado pela esposa e se apaixona por sua vizinha, quem ele considera a mulher perfeita. Só tem um problema: ela não existe!",Comédia
FILME,A Nightmare On Elm Street,"Um grupo de adolescentes tem um sonho em comum com Freddy Krueger, um assassino desfigurado capaz de dominá-los quando eles adormecem.    ",Terror
FILME,A Ostra E O Vento,"Marcela vive com o pai, o faroleiro José, e o velho Daniel numa ilha. Ela segue sua vida reclusa até que, ao tornar-se adolescente, passa a sentir os anseios de viver intensamente.",Drama
FILME,A Perfect Christmas,"Recém-casados, Cynthia e Steve se preparam para passar o primeiro Natal juntos e em família, mas algumas questões pessoais podem atrapalhar o tão aguardado evento.  ",Comédia
FILME,A Presepada,"Depois de aplicar um golpe, Hiltinho acaba fugindo. Na rodoviária, ele rouba a mochila de Frei Fernando. Assim que chega à cidade, ele percebe que o Frei é esperado como a grande atração da Cantada de Natal.",Comédia
FILME,A Primeira Pedra,"Vencedor do Pitching Doc Futura 2017, “A Primeira Pedra” investiga a onda de linchamentos no Brasil e mostra a violência, praticada muitas vezes por pessoas que se consideram ‘cidadãos de bem’, tornou-se cotidiana.",Documentário
FILME,A Reggae Session,"Neville Garrick, apresenta esse especial, com alguns dos maiores nomes do reggae. Jimmy Cliff, Grace Jones, Ziggy Marley e muitos outros no Fort Charles, para a grande celebração!",Música
FILME,A República Da Soja,"Como China e o agronegócio ocidental, em países como Brasil, dominam a indústria mundial de soja e carne, saqueiam o meio ambiente e eliminam pequenos agricultores.",Documentário
FILME,A Rising Tide,"Sam é um jovem chef de cozinha que tem ideias inovadoras que se chocam com o jeito tradicionalista do seu pai. Quando o furacão Sandy destrói o restaurante de sua família em Atlantic City, ele precisa lidar com as consequências do desastre.",Drama
FILME,A Shoe Addict's Christmas,"Quando a vida amorosa e a carreira profissional parecem estar fora de controle, Noelle passa por uma curiosa experiência na noite de Natal capaz de transformar algumas de suas prioridades.  ",Fantasia
FILME,A Song For Christmas,"Uma estrela do pop é deixada para trás durante sua turnê pelos Estados Unidos, mas acaba sendo acolhida por uma família muito especial que passa por um problema delicado.  ",Drama
FILME,A Teia,"APÓS ROUBAR 61 QUILOS DE OURO, O BANDIDO MARCO AURÉLIO BARONI TENTA ESCAPAR DAS INVESTIGAÇÕES DO DELEGADO JORGE MACEDO, CONHECIDO POR SEUS MÉTODOS NADA CONVENCIONAIS. VIVENDO UM JOGO DE GATO E RATO, BARONI IRÁ SEGUIR COM OS SEUS PLANOS, BUSCANDO PROTEGER A SUA MULHER, CELESTE. BASEADO EM EVENTOS REAIS. .",Ação
FILME,A Very Royal Wedding,"O documentário Elizabeth e Philip – Bodas de Platina, mostra detalhes do casamento da rainha Elizabeth II com o príncipe Philip, em 1947.",Documentário
FILME,A Vida De Guilherme Tâmega,"O documentário aborda a história de vida do atleta hexacampeão mundial Guilherme Tâmega. Contamos seu passado recheado de conquistas, o seu momento atual no esporte e no trabalho de salva vidas do North Shore, além seus planos e objetivos para o futuro.",Aventura
FILME,Abel's Field,Um drama inspirador sobre um solitário jardineiro do ensino médio que se torna o mentor de um adolescente com dificuldades.,Drama
FILME,Accidental Love,"Após sofrer um trauma na cabeça, uma jovem começa a apresentar comportamentos inusitados. Ela se muda para a capital, onde conhece um senador muito louco.    ",Comédia
FILME,Active Measures,Entenda como funcionou a operação de espionagem russa de maior sucesso da história: a eleição presidencial dos EUA de 2016.,Documentário
FILME,Adieu Au Langage,"Jean-Luc Godard, o mestre da Nouvelle Vague, explora os universos da linguagem cinematográfica em uma história de amor, filosofia e política.",Drama
FILME,Adoniran: Meu Nome É João Rubinato,"Duas pequenas aldeias com 9 km de distância e uma rivalidade lendária. Do lado brasileiro, os moradores de Belezura, cidade onde as pessoas sobrevivem de empregos em uma fábrica de móveis, estão prestes a enfrentar dois acontecimentos que vão mudar suas vidas: o fechamento da fábrica e o último jogo de futebol contra seus arquirrivais argentinos. Para eles, é apenas o último jogo antes do fim do mundo. Ambos os lados concordam em um ponto - eles precisam vencer, mesmo que isso signifique dar suas próprias vidas por isso.  ",Documentário Ficção
FILME,Adventures In Public School,"Por toda sua vida, o jovem Liam recebeu ensino domiciliar pela influência de sua mãe superprotetora. Perto de se formar, ele resolve experimentar o ambiente escolar pela primeira e última vez.  ",Comédia
FILME,Advocate,"Lea Tsemel defende os palestinos: de feministas a fundamentalistas, de manifestantes não-violentos a militantes armados. Como uma advogada judia-israelense que representa prisioneiros políticos há quase 50 anos, Tsemel tem uma incansável busca por justiça.",Documentário
FILME,After The Ball,"Kate é uma jovem que sonha em ser estilista. Quando ela decide trabalhar com o pai, sua madrasta e enteadas fazem de tudo para ela ser demitida, mas Kate tem um plano para isso.",Romance Comédia Drama
FILME,Age Of Consequences,"Uma análise sobre as consequências das mudanças climáticas no mundo, como a escassez de recursos naturais, as migrações forçadas e os conflitos que irão se originar a partir daí.",Documentário
FILME,Age Of Dinosaurs,"Uma empresa de biotecnologia consegue recriar dinossauros, mas as criaturas escapam do controle e aterrorizam Los Angeles. Em meio ao caos, um ex-bombeiro precisa salvar sua filha.",Ação
FILME,"Aimer, Boire Et Chanter","Um grupo de teatro amador ensaia uma nova peça quando descobrem que um amigo está muito doente. De acordo com os médicos, George terá no máximo seis meses de vida. Eles têm a ideia inusitada de chamá-lo para interpretar um dos personagens da peça.  ",Drama
FILME,"Aimer, Boire Et Chanter ","Um grupo de teatro ensaia uma nova peça, quando descobre que um amigo próximo tem 6 meses de vida. Eles têm então a inusitada ideia de chamá-lo para interpretar um dos personagens.",Comédia
FILME,Al Capone: Icon,"Há algo de fascinante no ícone do crime organizado do século XX. O anti-herói trágico esteve envolvido no assassinato de dezenas de pessoas, mas também foi uma figura pública popular e carismática.",Documentário
FILME,Al Final Del Tunel,Joaquín decide alugar um de seus quartos para a stripper Berta. O que ele não imagina é que ela e o namorado criminoso vão criar um túnel por baixo da casa para roubar um banco.,Crime Suspense
FILME,Albatroz,"Simão se apaixona pela atriz judia Renée, com quem viaja a Jerusalém. Lá ele fotografa um atentado terrorista que lhe torna mundialmente famoso. Ao mesmo tempo, surgem críticas negativas por ele não ter tentado evitar a tragédia.",Suspense
FILME,Alcohol – The Magic Potion,"Entenda o consumo de álcool na África e na Europa Ocidental, através de entrevistas com especialistas  e pessoas que sofreram com excessos.",Documentário
FILME,Alexander,"O longa relata a história de Alexandre, o Grande (Colin Farrell), narrando a construção de seu exército desde a pequena Macedônia, até confrontos contra o Império Persa e marchas para o Egito e a Índia.",Ação
FILME,Alguém Como Eu,"Helena, uma mulher de 30 anos, começa a repensar seu namoro. Ela passa a imaginar como seria se seu namorado, Alex, fosse uma mulher. Esse pensamento traz para a vida do casal um terceiro personagem, fruto da imaginação de Helena.",Romance
FILME,Ali Babá E Os Quarenta Ladrões,"Ali Babá vive às custas do irmão Cassim. Sua cunhada o expulsa de casa e, nas ruas, ele conhece Rosinha. Apaixonado, ele descobre mercadorias escondidas por 40 ladrões.",Comédia
FILME,Alice Doesn't Live Here Anymore,"Depois de perder o marido em um acidente, Alice começa a trabalhar como cantora para sustentar o filho, mas se envolve com um homem casado e precisa refazer a vida em outro lugar.",Drama
FILME,Alicia Keys: Live In La,"Uma das grandes vozes da música, Alicia Keys apresenta seus sucessos em uma performance intimista. No setlist, destacam-se “No One”, “Fallin’”, “If I Ain’t Got You” e muito mais.",Música
FILME,All Governments Lies,"Jornalistas independentes estão mudando a cara da profissão, proporcionando investigação e alternativas aos contraditórios meios de comunicação corporativos.",Documentário
FILME,All Is Bright,Dennis está em liberdade condicional e consegue um trabalho como vendedor de árvores de Natal para juntar dinheiro rápido e poder comprar o piano que sua filha tanto deseja.,Comédia Drama
FILME,All Nighter,Um pai viciado em trabalho descobre que sua filha desapareceu e é forçado a se juntar com o ex-namorado esquisito dela para encontrá-la ao longo de uma noite sem igual.,Comédia
FILME,All These Sleepless Nights,"Kris e Michal saem pelas ruas de Varsóvia em busca de viver para sempre dentro de bons momentos. Nunca contentes com as respostas, eles arriscam em novas experiências.",Documentário
FILME,Alternativa,"Lola, Kassia e Leah amam surfar. Elas embarcam para el Salvador junto à equipe da Inertia Magazine, para uma surftrip de autoconhecimento e como é liderar essa nova geração.",Documentário
FILME,Alvin And The Chipmunks,"Três esquilos, Alvin, Simon e Theodore acabam por acaso na casa de Dave, um compositor em busca de sucesso. Dave consegue transformar o trio em celebridades da música pop enquanto esses divertidos esquilos deixam a vida dele de pernas para o ar.",Comédia Animação
FILME,Alvin And The Chipmunks: The Road Chip,"Os esquilos cantores Alvin, Simon e Theodore descobrem que o seu cuidador, Dave, vai pedir a namorada em casamento. Eles se juntam ao filho da moça e pegam a estrada para impedir que Dave faça isso, pois não querem que ele se case. Eles embarcam em uma jornada cheia de aventuras.",Comédia Animação
FILME,Alvin And The Chipmunks: The Squeakquel,"ALVIN, SIMON E THEODORE SÃO ASTROS MUNDIALMENTE CONHECIDOS. APESAR DISTO, CONTINUAM VIVENDO COM DAVE. DURANTE UM SHOW EM PARIS, DAVE SOFRE UM ACIDENTE E PRECISA PERMANECER UM LONGO PERIODO NO HOSPITAL. COMO OS ESQUILOS PRECISAM RETORNAR AOS ESTADOS UNIDOS, DAVE PEDE AJUDA A TIA JACKIE QUE TAMBÉM ACABA SOFRENDO UM ACIDENTE, FICANDO A CARGO DO SOBRINHA DELA, TOBY, CUIDAR DELES. ELE OS LEVA PARA A ESCOLA, UMA EXPERIÊNCIA NOVA PARA ELES. .",Comédia
FILME,Alvin E Os Esquilos 3,"Os esquilos mais amados do mundo voltam com toda animação. Em uma de suas brincadeiras, Alvin voa de asa-delta até uma ilha, levando seus irmãos e as esquiletes. Mas as coisas não vão nada bem com os perigos e surpresas de uma ilha deserta.",Infantil
FILME,Além Do Homem,"Alberto é um escritor brasileiro que mora em Paris há anos e tem aversão ao Brasil. Mesmo assim, ele é forçado a voltar ao seu país de origem para achar um antropólogo francês desaparecido. O escritor então inicia uma viagem reveladora, marcada por figuras ilustres que aparecem em seu caminho.",Drama
FILME,Além Dos Sonhos,Roman Romancini que conquistou 4 dos “7 cumes” enfrenta um acidente que coloca em risco o movimento de sua perna. O sonho de escalar o Everest se torna sua força para recuperação.,Documentário
FILME,Amarelo Manga,"Guiados pela paixão, os personagens penetram num universo de armadilhas e vinganças, de desejos irrealizáveis, da busca pela felicidade, colorindo a vida com um amarelo hepático e pulsante.  ",Drama
FILME,Amazônia - O Despertar Da Florestania,"Como o Brasil tem lidado com a natureza e os recursos naturais? A partir de entrevistas com especialistas e o resgate de figuras históricas, discute-se a noção de cidadania da floresta.",Documentário
FILME,Amazônia Sociedade Anônima,"Diante do fracasso do governo em proteger a Amazônia, índios e ribeirinhos, liderados pelo Cacique Juarez Saw Munduruku, enfrentam máfias de roubo de terras e desmatamento ilegal.",Documentário
FILME,America,"Uma psiquiatra ajuda um garoto chamado América a superar traumas de um passado doloroso, com uma infância marcada por abandono e violência.",Documentário Drama
FILME,America's Slut Model,"Modelos top de linha estão nesse filme e mostram que além de beleza, elas mandam muito no sexo anal, oral e no lesbianismo.",Erótico
FILME,American Heist,"LUTANDO PARA MUDAR SUA VIDA, JAMES CONSEGUE UM TRABALHO COMO MECÂNICO E LOGO CONHECE UMA BELA MULHER. AO MESMO TEMPO, SEU IRMÃO MAIS VELHO, FRANKIE, DEIXA A PRISÃO E TENTA SE RECONECTAR COM A FAMÍLIA. SEM CONSEGUIR PROGREDIR NOS NEGÓCIOS, JAMES IRÁ SE JUNTAR AO IRMÃO NUM ÚLTIMO E AUDACIOSO TRABALHO: UM ASSALTO A BANCO QUE IRÁ MUDAR SUAS VIDAS, PARA O BEM OU PARA O MAL. REFILMAGEM DO LONGA “O GRANDE ROUBO DE ST LOUIS”, DE 1959. .",Ação
FILME,American Masters – Season 19 – Episode 07 - ‘no Direction Home: Bob Dylan,"Este documentário mostra uma parte da trajetória musical de Bob Dylan, um dos maiores artistas do século XX, entre os anos de 1961 e 1966. Dirigido por Martin Scorsese, o filme conta como o cantor de protesto se tornou a ""voz de uma geração"" e influenciou a cultura americana.  Conta a vida de Bob Dylan, desde suas primeiras aparições até sua tumultuada ascensão ao estrelato em 1966. Depoimentos enriquecem a produção, que traz cenas raras tanto de apresentações ao vivo quanto de entrevistas.  ",Música
FILME,American Pie 2,"Depois de um ano separados, os amigos Kevin, Jim, Oz, Finch e Stifler alugam uma casa de verão onde pretendem buscar mais experiências sexuais. Nadia irá visitar Jim, mas ele não se sente preparado para encontrá-la e receberá ajuda de seus amigos.",Comédia
FILME,American Reunion,"Uma década depois da formatura, amigos de colégio voltam a sua cidade natal para um reencontro de alunos. Lá, eles têm a chance de refletir sobre o que mudou - enquanto se envolvem em novas enrascadas.",Comédia
FILME,American Sniper,"História real de Chris Kyle, atirador de elite dos EUA. Após a guerra do Iraque, ele torna-se herói. Quando volta para casa, Kyle descobre que é difícil deixar a guerra para trás.",Ação
FILME,American Wedding,"Jim e Michelle vão se casar. Para fazer com que os desejos dos noivos se tornem realidade, a irmã nada ingênua de Michelle e o grande Stifler comandam a despedida de solteiro.",Comédia
FILME,Amigas De Sorte,"Rita, Nina e Nelita são amigas desde muito jovens e sempre sonharam em ficar ricas. Quando finalmente ganham o suficiente para arrumar suas vidas, elas decidem aproveitar.",Comédia
FILME,Amor Ao Quadrado,"Os encontros e desencontros de dois anjos cupidos em meio à correria de Brasília. Um é experiente e frustrado. O outro, cheio de energia, mas atrapalhado.",Drama
FILME,"Amor, Plástico E Barulho","Shelly é uma jovem dançarina que tem o sonho de ser cantora de Brega. Ela parte em busca da fama, mas inserida em um mundo onde tudo é descartável, ela encontra dificuldades para atingi-la.",Drama
FILME,Amores Urbanos,"Os amigos Diego, Júlia e Micaela estão no auge de suas vidas, experimentando desilusões amorosas e procurando a carreira ideal. Eles compartilham diariamente suas experiências, fracassos e conquistas.",Ficção Comédia Drama
FILME,Amorteamo,"DOIS TRIÂNGULOS AMOROSOS DOMINAM O ENREDO. O PRIMEIRO É FORMADO POR ARLINDA, QUE É CASADA COM ARAGÃO, MAS TEM UM CASO COM CHICO. JÁ O SEGUNDO É VIVIDO POR GABRIEL, QUE É APAIXONADO POR LENA, MAS IRIA SE CASAR COM MALVINA. ASSIM, GABRIEL ABANDONA MALVINA NA PORTA DA IGREJA E A JOVEM COMETE SUICÍDIO. GABRIEL, COM REMORSO, VIOLA O TÚMULO DA NOIVA E RETIRA O SEU CORPO DE LÁ. NO ENTANTO, ELA ACABA VOLTANDO À VIDA E TRAZ COM ELA TODOS OS MORTOS DA CIDADE. NUM PRIMEIRO MOMENTO, OS MORADORES FICAM FELIZES; MAS DEPOIS DESCOBREM QUE O CURSO NATURAL DA VIDA DEVERIA CONTINUAR SENDO SEGUIDO.",Horror Terror
FILME,Amour,"Georges e Anne são dois idosos apaixonados pela arte e, principalmente, um pelo outro. Os desafios da terceira idade afetam sua forma de viver, e o modo como se relacionam com a filha, mas o amor entre eles segue inabalável. Vencedor da Palma de Ouro em Cannes e melhor filme estrangeiro no Oscar.",Drama
FILME,Amy Winehouse - Live At Shepherds Bush,"Show da lendária cantora britânica Amy Winehouse, gravado no dia 29 de maio de 2007 na tradicional casa de shows Shepherd's Bush Empire, em Londres. O setlist incluiu seus maiores sucessos, como ""Rehab"", ""Back to Black"" e ""Valerie"".",A Informar Música
FILME,"Anarchistes, Les","No final do século 19, o sargento Jean Albertini trabalha infiltrado em um grupo de anarquistas em Paris. No entanto, ele passa pelas pessoas e as ideias do grupo e começa a questionar sua missão.",Drama
FILME,Anatomy Of A Male Ballet Dancer,O brasileiro Marcelo Gomes ficou conhecido como o maior bailarino de sua geração. Este filme acompanha a rotina de viagens e apresentações com a renomada American Ballet Theatre.,Documentário
FILME,"Andy Warhol, Fluorescent",Warhol nunca teve medo de quebrar o molde e remodelar as áreas da arte. Mas quem era o verdadeiro ser humano por trás das cores em que ele se escondia? Foi a arte ou a fama que moveu sua criatividade?,Documentário
FILME,Ange Et Gabrielle,"O arquiteto sedutor Ange leva uma vida de noitadas, com a diversão sempre em primeiro plano. Certo dia, Gabrielle aparece na vida de Ange dizendo que o filho dele engravidou sua filha. Como o solteirão sequer sabia da existência do filho, ele agora vai ter que se adaptar à nova realidade.",Comédia
FILME,Angels Are Made Of Light,"Um retrato de Cabul, no Afeganistão, através do olhar esperançoso de crianças e professores de uma escola em meio à pobreza e à guerra que os envolve.",Documentário
FILME,Anni Felici,"Guido é um artista com aspirações vanguardistas. Serena, sua esposa, não se interessa por arte. Seus dois filhos testemunham o caos emocional do casal e o desejo que os consome.",Drama
FILME,Anos Dourados - O Filme,"Adaptação da série exibida em 1986, Marcos e Lurdinha vivem o amor na década de 1950. O conservadorismo da família da moça e a repressão sexual da época são fatores que afetam o relacionamento do casal.",Ficção
FILME,Antes Que Eu Me Esqueça,"Polidoro é um juiz aposentado que mantém pouco contato com os filhos. Ao perceber algumas atitudes estranhas do pai, Bia resolve entrar na justiça com um pedido de interdição.",Comédia Drama
FILME,Antissocial - Relações Abusivas No Dia A Dia,"O que acontece quando a falta de empatia se transforma em preconceito, violência e abuso? O documentário aborda essa discussão e seu impacto no ser e na sociedade.       ",Documentário
FILME,Aos Teus Olhos,"Rubens é um professor de natação infantil acusado de beijar um de seus alunos. Quando a questão viraliza nos grupos e redes sociais da escola, começa um julgamento precipitado sobre suas intenções.",Drama
